,datetime,station_antwerp,station_paris,station_london
0,2019-05-07 02:00:00,NULL,NULL,23.0
1,2019-05-07 03:00:00,50.5,25.0,19.0
2,2019-05-07 04:00:00,45.0,27.7,19.0
3,2019-05-07 05:00:00,NULL,50.4,16.0
4,2019-05-07 06:00:00,NULL,61.9,NULL
5,2019-05-07 07:00:00,NULL,72.4,26.0
6,2019-05-07 08:00:00,NULL,77.7,32.0
7,2019-05-07 09:00:00,NULL,67.9,32.0
8,2019-05-07 10:00:00,NULL,56.0,28.0
9,2019-05-07 11:00:00,NULL,34.5,21.0
10,2019-05-07 12:00:00,NULL,20.1,21.0
11,2019-05-07 13:00:00,NULL,13.0,18.0
12,2019-05-07 14:00:00,NULL,10.6,20.0
13,2019-05-07 15:00:00,NULL,13.2,18.0
14,2019-05-07 16:00:00,NULL,11.0,20.0
15,2019-05-07 17:00:00,NULL,11.7,20.0
16,2019-05-07 18:00:00,NULL,18.2,21.0
17,2019-05-07 19:00:00,NULL,22.3,20.0
18,2019-05-07 20:00:00,NULL,21.4,20.0
19,2019-05-07 21:00:00,NULL,26.8,24.0
20,2019-05-07 22:00:00,NULL,36.2,24.0
21,2019-05-07 23:00:00,NULL,33.9,NULL
22,2019-05-08 00:00:00,NULL,35.8,24.0
23,2019-05-08 01:00:00,NULL,34.0,19.0
24,2019-05-08 02:00:00,NULL,22.1,19.0
25,2019-05-08 03:00:00,23.0,19.6,20.0
26,2019-05-08 04:00:00,20.5,15.3,20.0
27,2019-05-08 05:00:00,NULL,13.5,19.0
28,2019-05-08 06:00:00,NULL,15.5,19.0
29,2019-05-08 07:00:00,NULL,19.3,29.0
30,2019-05-08 08:00:00,NULL,21.7,34.0
31,2019-05-08 09:00:00,NULL,19.5,36.0
32,2019-05-08 10:00:00,NULL,17.0,33.0
33,2019-05-08 11:00:00,NULL,19.7,28.0
34,2019-05-08 12:00:00,NULL,33.4,27.0
35,2019-05-08 13:00:00,NULL,21.4,26.0
36,2019-05-08 14:00:00,NULL,15.1,26.0
37,2019-05-08 15:00:00,NULL,14.3,24.0
38,2019-05-08 16:00:00,NULL,25.3,27.0
39,2019-05-08 17:00:00,NULL,26.0,28.0
40,2019-05-08 18:00:00,NULL,38.6,31.0
41,2019-05-08 19:00:00,NULL,29.3,40.0
42,2019-05-08 20:00:00,NULL,27.8,25.0
43,2019-05-08 21:00:00,NULL,41.3,29.0
44,2019-05-08 22:00:00,NULL,38.3,26.0
45,2019-05-08 23:00:00,NULL,48.9,NULL
46,2019-05-09 00:00:00,NULL,32.2,25.0
47,2019-05-09 01:00:00,NULL,25.2,30.0
48,2019-05-09 02:00:00,NULL,14.7,NULL
49,2019-05-09 03:00:00,20.0,10.6,31.0
50,2019-05-09 04:00:00,20.5,10.0,31.0
51,2019-05-09 05:00:00,NULL,10.4,33.0
52,2019-05-09 06:00:00,NULL,15.3,33.0
53,2019-05-09 07:00:00,NULL,34.5,33.0
54,2019-05-09 08:00:00,NULL,50.7,33.0
55,2019-05-09 09:00:00,NULL,49.0,35.0
56,2019-05-09 10:00:00,NULL,32.2,36.0
57,2019-05-09 11:00:00,NULL,32.3,28.0
58,2019-05-09 12:00:00,NULL,43.1,27.0
59,2019-05-09 13:00:00,NULL,34.2,30.0
60,2019-05-09 14:00:00,NULL,35.1,27.0
61,2019-05-09 15:00:00,NULL,21.3,34.0
62,2019-05-09 16:00:00,NULL,24.6,97.0
63,2019-05-09 17:00:00,NULL,23.9,67.0
64,2019-05-09 18:00:00,NULL,27.0,60.0
65,2019-05-09 19:00:00,NULL,29.9,58.0
66,2019-05-09 20:00:00,NULL,24.4,62.0
67,2019-05-09 21:00:00,NULL,23.8,59.0
68,2019-05-09 22:00:00,NULL,29.2,65.0
69,2019-05-09 23:00:00,NULL,34.5,59.0
70,2019-05-10 00:00:00,NULL,29.7,59.0
71,2019-05-10 01:00:00,NULL,26.7,52.0
72,2019-05-10 02:00:00,NULL,22.7,52.0
73,2019-05-10 03:00:00,10.5,19.1,41.0
74,2019-05-10 04:00:00,11.5,14.1,41.0
75,2019-05-10 05:00:00,NULL,15.0,40.0
76,2019-05-10 06:00:00,NULL,20.5,40.0
77,2019-05-10 07:00:00,NULL,37.8,39.0
78,2019-05-10 08:00:00,NULL,47.4,36.0
79,2019-05-10 09:00:00,NULL,57.3,39.0
80,2019-05-10 10:00:00,NULL,60.7,34.0
81,2019-05-10 11:00:00,NULL,53.4,31.0
82,2019-05-10 12:00:00,NULL,35.1,29.0
83,2019-05-10 13:00:00,NULL,23.2,28.0
84,2019-05-10 14:00:00,NULL,25.3,26.0
85,2019-05-10 15:00:00,NULL,22.0,25.0
86,2019-05-10 16:00:00,NULL,29.3,25.0
87,2019-05-10 17:00:00,NULL,29.6,24.0
88,2019-05-10 18:00:00,NULL,30.8,26.0
89,2019-05-10 19:00:00,NULL,37.8,26.0
90,2019-05-10 20:00:00,NULL,33.4,29.0
91,2019-05-10 21:00:00,NULL,39.3,29.0
92,2019-05-10 22:00:00,NULL,43.6,29.0
93,2019-05-10 23:00:00,NULL,37.0,31.0
94,2019-05-11 00:00:00,NULL,28.1,31.0
95,2019-05-11 01:00:00,NULL,26.0,27.0
96,2019-05-11 02:00:00,NULL,24.8,27.0
97,2019-05-11 03:00:00,26.5,15.5,32.0
98,2019-05-11 04:00:00,21.0,14.9,32.0
99,2019-05-11 05:00:00,NULL,NULL,35.0
100,2019-05-11 06:00:00,NULL,NULL,35.0
101,2019-05-11 07:00:00,NULL,NULL,30.0
102,2019-05-11 08:00:00,NULL,28.9,30.0
103,2019-05-11 09:00:00,NULL,29.0,27.0
104,2019-05-11 10:00:00,NULL,32.1,30.0
105,2019-05-11 11:00:00,NULL,35.7,NULL
106,2019-05-11 12:00:00,NULL,36.8,NULL
107,2019-05-11 13:00:00,NULL,33.2,NULL
108,2019-05-11 14:00:00,NULL,30.2,NULL
109,2019-05-11 15:00:00,NULL,30.8,NULL
110,2019-05-11 16:00:00,NULL,17.8,28.0
111,2019-05-11 17:00:00,NULL,18.0,26.0
112,2019-05-11 18:00:00,NULL,19.5,28.0
113,2019-05-11 19:00:00,NULL,32.0,31.0
114,2019-05-11 20:00:00,NULL,33.1,33.0
115,2019-05-11 21:00:00,NULL,31.2,33.0
116,2019-05-11 22:00:00,NULL,24.2,34.0
117,2019-05-11 23:00:00,NULL,21.1,37.0
118,2019-05-12 00:00:00,NULL,27.7,37.0
119,2019-05-12 01:00:00,NULL,26.4,35.0
120,2019-05-12 02:00:00,NULL,22.8,35.0
121,2019-05-12 03:00:00,17.5,19.2,38.0
122,2019-05-12 04:00:00,20.0,17.2,38.0
123,2019-05-12 05:00:00,NULL,16.0,36.0
124,2019-05-12 06:00:00,NULL,16.2,36.0
125,2019-05-12 07:00:00,NULL,19.2,38.0
126,2019-05-12 08:00:00,NULL,20.1,44.0
127,2019-05-12 09:00:00,NULL,15.9,32.0
128,2019-05-12 10:00:00,NULL,14.6,26.0
129,2019-05-12 11:00:00,NULL,11.7,26.0
130,2019-05-12 12:00:00,NULL,11.4,21.0
131,2019-05-12 13:00:00,NULL,11.4,20.0
132,2019-05-12 14:00:00,NULL,10.9,19.0
133,2019-05-12 15:00:00,NULL,8.7,21.0
134,2019-05-12 16:00:00,NULL,9.1,22.0
135,2019-05-12 17:00:00,NULL,9.6,23.0
136,2019-05-12 18:00:00,NULL,11.7,24.0
137,2019-05-12 19:00:00,NULL,13.9,22.0
138,2019-05-12 20:00:00,NULL,18.2,22.0
139,2019-05-12 21:00:00,NULL,19.5,22.0
140,2019-05-12 22:00:00,NULL,24.1,21.0
141,2019-05-12 23:00:00,NULL,34.2,22.0
142,2019-05-13 00:00:00,NULL,46.5,22.0
143,2019-05-13 01:00:00,NULL,32.5,22.0
144,2019-05-13 02:00:00,NULL,25.0,22.0
145,2019-05-13 03:00:00,14.5,18.9,24.0
146,2019-05-13 04:00:00,14.5,18.5,24.0
147,2019-05-13 05:00:00,NULL,18.9,33.0
148,2019-05-13 06:00:00,NULL,25.1,33.0
149,2019-05-13 07:00:00,NULL,38.3,39.0
150,2019-05-13 08:00:00,NULL,45.2,39.0
151,2019-05-13 09:00:00,NULL,41.0,31.0
152,2019-05-13 10:00:00,NULL,32.1,29.0
153,2019-05-13 11:00:00,NULL,20.6,27.0
154,2019-05-13 12:00:00,NULL,12.8,26.0
155,2019-05-13 13:00:00,NULL,9.6,24.0
156,2019-05-13 14:00:00,NULL,9.2,25.0
157,2019-05-13 15:00:00,NULL,10.1,26.0
158,2019-05-13 16:00:00,NULL,10.7,28.0
159,2019-05-13 17:00:00,NULL,10.6,29.0
160,2019-05-13 18:00:00,NULL,12.1,30.0
161,2019-05-13 19:00:00,NULL,13.0,30.0
162,2019-05-13 20:00:00,NULL,15.5,31.0
163,2019-05-13 21:00:00,NULL,23.9,31.0
164,2019-05-13 22:00:00,NULL,28.3,31.0
165,2019-05-13 23:00:00,NULL,30.4,31.0
166,2019-05-14 00:00:00,NULL,27.3,31.0
167,2019-05-14 01:00:00,NULL,22.8,23.0
168,2019-05-14 02:00:00,NULL,20.9,23.0
169,2019-05-14 03:00:00,14.5,19.1,26.0
170,2019-05-14 04:00:00,11.5,19.0,26.0
171,2019-05-14 05:00:00,NULL,22.1,30.0
172,2019-05-14 06:00:00,NULL,31.6,30.0
173,2019-05-14 07:00:00,NULL,38.6,33.0
174,2019-05-14 08:00:00,NULL,46.1,34.0
175,2019-05-14 09:00:00,NULL,41.3,33.0
176,2019-05-14 10:00:00,NULL,28.8,30.0
177,2019-05-14 11:00:00,NULL,19.0,31.0
178,2019-05-14 12:00:00,NULL,12.9,27.0
179,2019-05-14 13:00:00,NULL,11.3,25.0
180,2019-05-14 14:00:00,NULL,10.2,25.0
181,2019-05-14 15:00:00,NULL,11.0,25.0
182,2019-05-14 16:00:00,NULL,15.2,29.0
183,2019-05-14 17:00:00,NULL,13.4,32.0
184,2019-05-14 18:00:00,NULL,15.3,33.0
185,2019-05-14 19:00:00,NULL,17.7,30.0
186,2019-05-14 20:00:00,NULL,17.9,28.0
187,2019-05-14 21:00:00,NULL,23.3,27.0
188,2019-05-14 22:00:00,NULL,28.4,25.0
189,2019-05-14 23:00:00,NULL,29.0,26.0
190,2019-05-15 00:00:00,NULL,30.9,26.0
191,2019-05-15 01:00:00,NULL,24.3,22.0
192,2019-05-15 02:00:00,NULL,18.8,NULL
193,2019-05-15 03:00:00,25.5,17.2,22.0
194,2019-05-15 04:00:00,22.5,16.8,22.0
195,2019-05-15 05:00:00,NULL,17.9,25.0
196,2019-05-15 06:00:00,NULL,28.9,25.0
197,2019-05-15 07:00:00,NULL,46.5,33.0
198,2019-05-15 08:00:00,NULL,48.1,33.0
199,2019-05-15 09:00:00,NULL,32.1,34.0
200,2019-05-15 10:00:00,NULL,25.7,35.0
201,2019-05-15 11:00:00,NULL,0.0,36.0
202,2019-05-15 12:00:00,NULL,0.0,35.0
203,2019-05-15 13:00:00,NULL,0.0,30.0
204,2019-05-15 14:00:00,NULL,9.4,31.0
205,2019-05-15 15:00:00,NULL,10.0,30.0
206,2019-05-15 16:00:00,NULL,11.9,38.0
207,2019-05-15 17:00:00,NULL,12.9,38.0
208,2019-05-15 18:00:00,NULL,12.2,33.0
209,2019-05-15 19:00:00,NULL,12.9,35.0
210,2019-05-15 20:00:00,NULL,16.5,33.0
211,2019-05-15 21:00:00,NULL,20.3,31.0
212,2019-05-15 22:00:00,NULL,30.1,32.0
213,2019-05-15 23:00:00,NULL,36.0,33.0
214,2019-05-16 00:00:00,NULL,44.1,33.0
215,2019-05-16 01:00:00,NULL,30.9,33.0
216,2019-05-16 02:00:00,NULL,27.4,33.0
217,2019-05-16 03:00:00,28.0,26.0,28.0
218,2019-05-16 04:00:00,NULL,26.7,28.0
219,2019-05-16 05:00:00,NULL,27.9,26.0
220,2019-05-16 06:00:00,NULL,37.0,26.0
221,2019-05-16 07:00:00,NULL,52.6,33.0
222,2019-05-16 08:00:00,NULL,NULL,34.0
223,2019-05-16 09:00:00,NULL,40.0,33.0
224,2019-05-16 10:00:00,NULL,39.4,32.0
225,2019-05-16 11:00:00,NULL,29.5,31.0
226,2019-05-16 12:00:00,NULL,13.5,33.0
227,2019-05-16 13:00:00,NULL,10.5,30.0
228,2019-05-16 14:00:00,NULL,9.2,27.0
229,2019-05-16 15:00:00,NULL,8.5,27.0
230,2019-05-16 16:00:00,NULL,8.1,26.0
231,2019-05-16 17:00:00,NULL,10.1,29.0
232,2019-05-16 18:00:00,NULL,10.3,30.0
233,2019-05-16 19:00:00,NULL,13.5,25.0
234,2019-05-16 20:00:00,NULL,15.9,27.0
235,2019-05-16 21:00:00,NULL,14.4,26.0
236,2019-05-16 22:00:00,NULL,24.8,25.0
237,2019-05-16 23:00:00,NULL,24.3,25.0
238,2019-05-17 00:00:00,NULL,37.1,25.0
239,2019-05-17 01:00:00,NULL,43.7,23.0
240,2019-05-17 02:00:00,NULL,46.3,23.0
241,2019-05-17 03:00:00,NULL,26.1,21.0
242,2019-05-17 04:00:00,NULL,24.6,21.0
243,2019-05-17 05:00:00,NULL,26.6,21.0
244,2019-05-17 06:00:00,NULL,28.4,21.0
245,2019-05-17 07:00:00,NULL,34.0,25.0
246,2019-05-17 08:00:00,NULL,46.3,27.0
247,2019-05-17 09:00:00,NULL,55.0,27.0
248,2019-05-17 10:00:00,NULL,57.5,29.0
249,2019-05-17 11:00:00,NULL,60.5,30.0
250,2019-05-17 12:00:00,NULL,51.5,30.0
251,2019-05-17 13:00:00,NULL,43.1,30.0
252,2019-05-17 14:00:00,NULL,46.5,29.0
253,2019-05-17 15:00:00,NULL,37.9,31.0
254,2019-05-17 16:00:00,NULL,27.0,32.0
255,2019-05-17 17:00:00,NULL,22.2,30.0
256,2019-05-17 18:00:00,NULL,20.7,29.0
257,2019-05-17 19:00:00,NULL,27.9,31.0
258,2019-05-17 20:00:00,NULL,33.6,36.0
259,2019-05-17 21:00:00,NULL,24.7,36.0
260,2019-05-17 22:00:00,NULL,23.5,36.0
261,2019-05-17 23:00:00,NULL,24.3,35.0
262,2019-05-18 00:00:00,NULL,28.2,35.0
263,2019-05-18 01:00:00,NULL,34.1,31.0
264,2019-05-18 02:00:00,NULL,31.5,31.0
265,2019-05-18 03:00:00,41.5,37.4,31.0
266,2019-05-18 04:00:00,NULL,29.0,31.0
267,2019-05-18 05:00:00,NULL,16.1,29.0
268,2019-05-18 06:00:00,NULL,16.6,29.0
269,2019-05-18 07:00:00,NULL,20.1,27.0
270,2019-05-18 08:00:00,NULL,22.1,29.0
271,2019-05-18 09:00:00,NULL,27.4,35.0
272,2019-05-18 10:00:00,NULL,20.4,32.0
273,2019-05-18 11:00:00,NULL,21.1,35.0
274,2019-05-18 12:00:00,NULL,24.1,34.0
275,2019-05-18 13:00:00,NULL,17.5,38.0
276,2019-05-18 14:00:00,NULL,12.9,29.0
277,2019-05-18 15:00:00,NULL,10.5,27.0
278,2019-05-18 16:00:00,NULL,11.8,28.0
279,2019-05-18 17:00:00,NULL,13.0,30.0
280,2019-05-18 18:00:00,NULL,14.6,42.0
281,2019-05-18 19:00:00,NULL,12.8,42.0
282,2019-05-18 20:00:00,35.5,14.5,36.0
283,2019-05-18 21:00:00,35.5,67.5,35.0
284,2019-05-18 22:00:00,40.0,36.2,41.0
285,2019-05-18 23:00:00,39.0,59.3,46.0
286,2019-05-19 00:00:00,34.5,62.5,46.0
287,2019-05-19 01:00:00,29.5,50.2,49.0
288,2019-05-19 02:00:00,23.5,49.6,49.0
289,2019-05-19 03:00:00,22.5,34.9,49.0
290,2019-05-19 04:00:00,19.0,38.1,49.0
291,2019-05-19 05:00:00,19.0,36.4,49.0
292,2019-05-19 06:00:00,21.0,39.4,49.0
293,2019-05-19 07:00:00,26.0,40.9,38.0
294,2019-05-19 08:00:00,30.5,31.1,36.0
295,2019-05-19 09:00:00,30.0,32.4,33.0
296,2019-05-19 10:00:00,23.5,31.7,30.0
297,2019-05-19 11:00:00,16.0,33.0,27.0
298,2019-05-19 12:00:00,17.5,31.0,28.0
299,2019-05-19 13:00:00,17.0,32.6,25.0
300,2019-05-19 14:00:00,16.0,27.9,27.0
301,2019-05-19 15:00:00,14.5,21.0,31.0
302,2019-05-19 16:00:00,23.0,23.8,29.0
303,2019-05-19 17:00:00,33.0,31.7,28.0
304,2019-05-19 18:00:00,17.5,32.5,27.0
305,2019-05-19 19:00:00,18.5,33.9,29.0
306,2019-05-19 20:00:00,15.5,32.7,30.0
307,2019-05-19 21:00:00,26.0,51.2,32.0
308,2019-05-19 22:00:00,15.0,35.6,32.0
309,2019-05-19 23:00:00,12.5,23.2,32.0
310,2019-05-20 00:00:00,18.5,22.2,32.0
311,2019-05-20 01:00:00,16.5,18.8,28.0
312,2019-05-20 02:00:00,26.0,16.4,28.0
313,2019-05-20 03:00:00,17.0,12.8,32.0
314,2019-05-20 04:00:00,10.5,12.1,32.0
315,2019-05-20 05:00:00,9.0,12.6,26.0
316,2019-05-20 06:00:00,14.0,14.9,26.0
317,2019-05-20 07:00:00,20.0,25.2,31.0
318,2019-05-20 08:00:00,26.0,40.1,31.0
319,2019-05-20 09:00:00,38.0,46.9,29.0
320,2019-05-20 10:00:00,40.0,46.1,29.0
321,2019-05-20 11:00:00,30.5,45.5,28.0
322,2019-05-20 12:00:00,25.0,43.9,28.0
323,2019-05-20 13:00:00,25.0,35.4,28.0
324,2019-05-20 14:00:00,34.5,23.8,29.0
325,2019-05-20 15:00:00,32.0,23.7,32.0
326,2019-05-20 16:00:00,24.5,27.5,32.0
327,2019-05-20 17:00:00,25.5,26.5,29.0
328,2019-05-20 18:00:00,NULL,32.4,30.0
329,2019-05-20 19:00:00,NULL,24.6,33.0
330,2019-05-20 20:00:00,NULL,32.2,32.0
331,2019-05-20 21:00:00,NULL,21.3,32.0
332,2019-05-20 22:00:00,NULL,21.6,34.0
333,2019-05-20 23:00:00,NULL,20.3,47.0
334,2019-05-21 00:00:00,NULL,20.7,47.0
335,2019-05-21 01:00:00,NULL,19.6,35.0
336,2019-05-21 02:00:00,NULL,16.9,35.0
337,2019-05-21 03:00:00,15.5,16.3,26.0
338,2019-05-21 04:00:00,NULL,17.7,26.0
339,2019-05-21 05:00:00,NULL,17.9,23.0
340,2019-05-21 06:00:00,NULL,18.5,23.0
341,2019-05-21 07:00:00,NULL,38.0,30.0
342,2019-05-21 08:00:00,NULL,62.6,27.0
343,2019-05-21 09:00:00,NULL,56.0,28.0
344,2019-05-21 10:00:00,NULL,54.2,29.0
345,2019-05-21 11:00:00,NULL,48.1,29.0
346,2019-05-21 12:00:00,NULL,30.4,26.0
347,2019-05-21 13:00:00,NULL,25.5,26.0
348,2019-05-21 14:00:00,NULL,30.5,28.0
349,2019-05-21 15:00:00,NULL,49.7,33.0
350,2019-05-21 16:00:00,NULL,47.8,34.0
351,2019-05-21 17:00:00,NULL,36.6,34.0
352,2019-05-21 18:00:00,NULL,42.3,37.0
353,2019-05-21 19:00:00,NULL,75.0,35.0
354,2019-05-21 20:00:00,NULL,54.3,40.0
355,2019-05-21 21:00:00,NULL,50.0,38.0
356,2019-05-21 22:00:00,NULL,40.8,33.0
357,2019-05-21 23:00:00,NULL,43.0,33.0
358,2019-05-22 00:00:00,NULL,33.2,33.0
359,2019-05-22 01:00:00,NULL,29.5,30.0
360,2019-05-22 02:00:00,NULL,27.1,30.0
361,2019-05-22 03:00:00,20.5,27.9,27.0
362,2019-05-22 04:00:00,NULL,19.2,27.0
363,2019-05-22 05:00:00,NULL,25.2,21.0
364,2019-05-22 06:00:00,NULL,33.7,21.0
365,2019-05-22 07:00:00,NULL,45.1,28.0
366,2019-05-22 08:00:00,NULL,75.7,29.0
367,2019-05-22 09:00:00,NULL,75.4,31.0
368,2019-05-22 10:00:00,NULL,70.8,31.0
369,2019-05-22 11:00:00,NULL,63.1,31.0
370,2019-05-22 12:00:00,NULL,57.8,28.0
371,2019-05-22 13:00:00,NULL,42.6,25.0
372,2019-05-22 14:00:00,NULL,42.2,25.0
373,2019-05-22 15:00:00,NULL,38.5,28.0
374,2019-05-22 16:00:00,NULL,40.0,30.0
375,2019-05-22 17:00:00,NULL,33.2,32.0
376,2019-05-22 18:00:00,NULL,34.9,34.0
377,2019-05-22 19:00:00,NULL,36.1,34.0
378,2019-05-22 20:00:00,NULL,34.1,33.0
379,2019-05-22 21:00:00,NULL,36.2,33.0
380,2019-05-22 22:00:00,NULL,44.9,31.0
381,2019-05-22 23:00:00,NULL,37.7,32.0
382,2019-05-23 00:00:00,NULL,29.8,32.0
383,2019-05-23 01:00:00,NULL,62.1,23.0
384,2019-05-23 02:00:00,NULL,53.3,23.0
385,2019-05-23 03:00:00,60.5,53.1,20.0
386,2019-05-23 04:00:00,NULL,66.6,20.0
387,2019-05-23 05:00:00,NULL,76.8,19.0
388,2019-05-23 06:00:00,NULL,71.9,19.0
389,2019-05-23 07:00:00,NULL,68.7,24.0
390,2019-05-23 08:00:00,NULL,79.6,26.0
391,2019-05-23 09:00:00,NULL,91.8,25.0
392,2019-05-23 10:00:00,NULL,97.0,23.0
393,2019-05-23 11:00:00,NULL,79.4,25.0
394,2019-05-23 12:00:00,NULL,28.3,24.0
